name	electrode_name	type	units	sampling_frequency
ainp130945	e000	n/a	V	-1.0
ainp196482	e001	n/a	V	-1.0
ainp262019	e002	n/a	V	-1.0
ainp327556	e003	n/a	V	-1.0
ainp393093	e004	n/a	V	-1.0
ainp458630	e005	n/a	V	-1.0
ainp524167	e006	n/a	V	-1.0
ainp589704	e007	n/a	V	-1.0
ainp655241	e008	n/a	V	-1.0
ainp720778	e009	n/a	V	-1.0
ainp786315	e010	n/a	V	-1.0
ainp851852	e011	n/a	V	-1.0
ainp917389	e012	n/a	V	-1.0
ainp982926	e013	n/a	V	-1.0
ainp1048463	e014	n/a	V	-1.0
ainp1114000	e015	n/a	V	-1.0
ainp1179537	e016	n/a	V	-1.0
ainp1245074	e017	n/a	V	-1.0
ainp1310611	e018	n/a	V	-1.0
ainp1376148	e019	n/a	V	-1.0
ainp1441685	e020	n/a	V	-1.0
ainp1507222	e021	n/a	V	-1.0
ainp1572759	e022	n/a	V	-1.0
ainp1638296	e023	n/a	V	-1.0
ainp1703833	e024	n/a	V	-1.0
ainp1769370	e025	n/a	V	-1.0
ainp1834907	e026	n/a	V	-1.0
ainp1900444	e027	n/a	V	-1.0
ainp1965981	e028	n/a	V	-1.0
ainp2031518	e029	n/a	V	-1.0
ainp2097055	e030	n/a	V	-1.0
ainp6815648	e031	n/a	V	-1.0
