name	electrode_name	type	units	sampling_frequency
sig001	e000	n/a	V	-1.0
sig002	e001	n/a	V	-1.0
sig003	e002	n/a	V	-1.0
sig004	e003	n/a	V	-1.0
sig005	e004	n/a	V	-1.0
sig006	e005	n/a	V	-1.0
sig007	e006	n/a	V	-1.0
sig008	e007	n/a	V	-1.0
sig009	e008	n/a	V	-1.0
sig010	e009	n/a	V	-1.0
sig011	e010	n/a	V	-1.0
sig012	e011	n/a	V	-1.0
sig013	e012	n/a	V	-1.0
sig014	e013	n/a	V	-1.0
sig015	e014	n/a	V	-1.0
sig016	e015	n/a	V	-1.0
sig017	e016	n/a	V	-1.0
sig018	e017	n/a	V	-1.0
sig019	e018	n/a	V	-1.0
sig020	e019	n/a	V	-1.0
sig021	e020	n/a	V	-1.0
sig022	e021	n/a	V	-1.0
sig023	e022	n/a	V	-1.0
sig024	e023	n/a	V	-1.0
sig025	e024	n/a	V	-1.0
sig026	e025	n/a	V	-1.0
sig027	e026	n/a	V	-1.0
sig028	e027	n/a	V	-1.0
sig029	e028	n/a	V	-1.0
sig030	e029	n/a	V	-1.0
sig031	e030	n/a	V	-1.0
sig032	e031	n/a	V	-1.0
